2012,april
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,01MAY10,01MAY10,C,C
3rd,08APR06,01MAR05,01SEP02,08APR06,08APR06
Other Workers,08APR06,22APR03,01SEP02,08APR06,08APR06
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2012,may
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,15AUG07,15AUG07,C,C
3rd,01MAY06,01APR05,08SEP02,01MAY06,01MAY06
Other Workers,01MAY06,22APR03,08SEP02,01MAY06,01MAY06
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2012,june
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,U,U,C,C
3rd,08JUN06,08AUG05,15SEP02,08JUN06,22MAY06
Other Workers,08JUN06,22APR03,15SEP02,08JUN06,22MAY06
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2012,july
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,01JAN09,U,U,01JAN09,01JAN09
3rd,22JUL06,22SEP05,22SEP02,22JUL06,08JUN06
Other Workers,22JUL06,15JUN03,22SEP02,22JUL06,08JUN06
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2012,august
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,01JAN09,U,U,01JAN09,01JAN09
3rd,08SEP06,08NOV05,01OCT02,08SEP06,15JUN06
Other Workers,08SEP06,15JUN03,01OCT02,08SEP06,08JUN06
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2012,september
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,01JAN09,U,U,01JAN09,01JAN09
3rd,01OCT06,15DEC05,08OCT02,01OCT06,01AUG06
Other Workers,01OCT06,22JUN03,08OCT02,01OCT06,01AUG06
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2012,november
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,01SEP07,01SEP04,C,C
3rd,22NOV06,15APR06,22OCT02,22NOV06,08AUG06
Other Workers,22NOV06,01JUL03,22OCT02,22NOV06,08AUG06
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2012,december
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,22OCT07,01SEP04,C,C
3rd,22DEC06,01JUL06,01NOV02,22DEC06,15AUG06
Other Workers,22DEC06,01JUL03,01NOV02,22DEC06,15AUG06
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2013,january
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,08DEC07,01SEP04,C,C
3rd,01FEB07,22SEP06,08NOV02,01FEB07,15AUG06
Other Workers,01FEB07,01JUL03,08NOV02,01FEB07,15AUG06
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2013,february
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,15JAN08,01SEP04,C,C
3rd,15MAR07,15NOV06,15NOV02,15MAR07,22AUG06
Other Workers,15MAR07,01JUL03,15NOV02,15MAR07,22AUG06
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2013,march
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,15FEB08,01SEP04,C,C
3rd,01MAY07,22JAN07,22NOV02,01MAY07,01SEP06
Other Workers,01MAY07,01JUL03,22NOV02,01MAR07,01SEP06
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2013,april
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,01APR08,01SEP04,C,C
3rd,01JUL07,22APR07,08DEC02,01JUL07,08SEP06
Other Workers,01JUL07,01AUG03,08DEC02,01JUL07,08SEP06
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2013,may
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,15MAY08,01SEP04,C,C
3rd,01DEC07,01DEC07,22DEC02,01DEC07,15SEP06
Other Workers,01DEC07,01SEP03,22DEC02,01DEC07,15SEP06
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2013,june
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,15JUL08,01SEP04,C,C
3rd,01SEP08,01SEP08,08JAN03,01SEP08,22SEP06
Other Workers,01SEP08,22OCT03,08JAN03,01SEP08,22SEP06
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2013,july
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,08AUG08,01SEP04,C,C
3rd,01JAN09,01JAN09,22JAN03,01JAN09,01OCT06
Other Workers,01JAN09,22MAR04,22JAN03,01JAN09,01OCT06
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2013,august
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,08AUG08,01JAN08,C,C
3rd,01JAN09,01JAN09,22JAN03,01JAN09,22OCT06
Other Workers,01JAN09,22MAR04,22JAN03,01JAN09,22OCT06
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2013,september
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
