01/01/12|TypeA|1st|All  Chargeability  Areas Except  Those Listed|C
01/01/12|TypeA|1st|CHINA-  mainland born|C
01/01/12|TypeA|1st|INDIA|C
01/01/12|TypeA|1st|MEXICO|C
01/01/12|TypeA|1st|PHILIPPINES|C
01/01/12|TypeA|2nd|All  Chargeability  Areas Except  Those Listed|C
01/01/12|TypeA|2nd|CHINA-  mainland born|01/01/09
01/01/12|TypeA|2nd|INDIA|01/01/09
01/01/12|TypeA|2nd|MEXICO|C
01/01/12|TypeA|2nd|PHILIPPINES|C
01/01/12|TypeA|3rd|All  Chargeability  Areas Except  Those Listed|02/01/06
01/01/12|TypeA|3rd|CHINA-  mainland born|10/15/04
01/01/12|TypeA|3rd|INDIA|08/08/02
01/01/12|TypeA|3rd|MEXICO|02/01/06
01/01/12|TypeA|3rd|PHILIPPINES|02/01/06
01/01/12|TypeA|Other Workers|All  Chargeability  Areas Except  Those Listed|02/01/06
01/01/12|TypeA|Other Workers|CHINA-  mainland born|04/22/03
01/01/12|TypeA|Other Workers|INDIA|08/01/02
01/01/12|TypeA|Other Workers|MEXICO|02/01/06
01/01/12|TypeA|Other Workers|PHILIPPINES|02/01/06
01/01/12|TypeA|4th|All  Chargeability  Areas Except  Those Listed|C
01/01/12|TypeA|4th|CHINA-  mainland born|C
01/01/12|TypeA|4th|INDIA|C
01/01/12|TypeA|4th|MEXICO|C
01/01/12|TypeA|4th|PHILIPPINES|C
01/01/12|TypeA|Certain Religious Workers|All  Chargeability  Areas Except  Those Listed|C
01/01/12|TypeA|Certain Religious Workers|CHINA-  mainland born|C
01/01/12|TypeA|Certain Religious Workers|INDIA|C
01/01/12|TypeA|Certain Religious Workers|MEXICO|C
01/01/12|TypeA|Certain Religious Workers|PHILIPPINES|C
01/01/12|TypeA|5thTargetedEmployment Areas/Regional Centersand Pilot Programs|All  Chargeability  Areas Except  Those Listed|C
01/01/12|TypeA|5thTargetedEmployment Areas/Regional Centersand Pilot Programs|CHINA-  mainland born|C
01/01/12|TypeA|5thTargetedEmployment Areas/Regional Centersand Pilot Programs|INDIA|C
01/01/12|TypeA|5thTargetedEmployment Areas/Regional Centersand Pilot Programs|MEXICO|C
01/01/12|TypeA|5thTargetedEmployment Areas/Regional Centersand Pilot Programs|PHILIPPINES|C
02/01/12|TypeA|1st|All  Chargeability  Areas Except  Those Listed|C
02/01/12|TypeA|1st|CHINA-  mainland born|C
02/01/12|TypeA|1st|INDIA|C
02/01/12|TypeA|1st|MEXICO|C
02/01/12|TypeA|1st|PHILIPPINES|C
02/01/12|TypeA|2nd|All  Chargeability  Areas Except  Those Listed|C
02/01/12|TypeA|2nd|CHINA-  mainland born|01/01/10
02/01/12|TypeA|2nd|INDIA|01/01/10
02/01/12|TypeA|2nd|MEXICO|C
02/01/12|TypeA|2nd|PHILIPPINES|C
02/01/12|TypeA|3rd|All  Chargeability  Areas Except  Those Listed|02/22/06
02/01/12|TypeA|3rd|CHINA-  mainland born|12/01/04
02/01/12|TypeA|3rd|INDIA|08/15/02
02/01/12|TypeA|3rd|MEXICO|02/22/06
02/01/12|TypeA|3rd|PHILIPPINES|02/22/06
02/01/12|TypeA|Other Workers|All  Chargeability  Areas Except  Those Listed|02/22/06
02/01/12|TypeA|Other Workers|CHINA-  mainland born|04/22/03
02/01/12|TypeA|Other Workers|INDIA|08/15/02
02/01/12|TypeA|Other Workers|MEXICO|02/22/06
02/01/12|TypeA|Other Workers|PHILIPPINES|02/22/06
02/01/12|TypeA|4th|All  Chargeability  Areas Except  Those Listed|C
02/01/12|TypeA|4th|CHINA-  mainland born|C
02/01/12|TypeA|4th|INDIA|C
02/01/12|TypeA|4th|MEXICO|C
02/01/12|TypeA|4th|PHILIPPINES|C
02/01/12|TypeA|Certain Religious Workers|All  Chargeability  Areas Except  Those Listed|C
02/01/12|TypeA|Certain Religious Workers|CHINA-  mainland born|C
02/01/12|TypeA|Certain Religious Workers|INDIA|C
02/01/12|TypeA|Certain Religious Workers|MEXICO|C
02/01/12|TypeA|Certain Religious Workers|PHILIPPINES|C
02/01/12|TypeA|5thTargetedEmployment Areas/Regional Centersand Pilot Programs|All  Chargeability  Areas Except  Those Listed|C
02/01/12|TypeA|5thTargetedEmployment Areas/Regional Centersand Pilot Programs|CHINA-  mainland born|C
02/01/12|TypeA|5thTargetedEmployment Areas/Regional Centersand Pilot Programs|INDIA|C
02/01/12|TypeA|5thTargetedEmployment Areas/Regional Centersand Pilot Programs|MEXICO|C
02/01/12|TypeA|5thTargetedEmployment Areas/Regional Centersand Pilot Programs|PHILIPPINES|C
03/01/12|TypeA|1st|All  Chargeability  Areas Except  Those Listed|C
03/01/12|TypeA|1st|CHINA-  mainland born|C
03/01/12|TypeA|1st|INDIA|C
03/01/12|TypeA|1st|MEXICO|C
03/01/12|TypeA|1st|PHILIPPINES|C
03/01/12|TypeA|2nd|All  Chargeability  Areas Except  Those Listed|C
03/01/12|TypeA|2nd|CHINA-  mainland born|05/01/10
03/01/12|TypeA|2nd|INDIA|05/01/10
03/01/12|TypeA|2nd|MEXICO|C
03/01/12|TypeA|2nd|PHILIPPINES|C
03/01/12|TypeA|3rd|All  Chargeability  Areas Except  Those Listed|03/15/06
03/01/12|TypeA|3rd|CHINA-  mainland born|01/01/05
03/01/12|TypeA|3rd|INDIA|08/22/02
03/01/12|TypeA|3rd|MEXICO|03/15/06
03/01/12|TypeA|3rd|PHILIPPINES|03/15/06
03/01/12|TypeA|Other Workers|All  Chargeability  Areas Except  Those Listed|03/15/06
03/01/12|TypeA|Other Workers|CHINA-  mainland born|04/22/03
03/01/12|TypeA|Other Workers|INDIA|08/22/02
03/01/12|TypeA|Other Workers|MEXICO|03/15/06
03/01/12|TypeA|Other Workers|PHILIPPINES|03/15/06
03/01/12|TypeA|4th|All  Chargeability  Areas Except  Those Listed|C
03/01/12|TypeA|4th|CHINA-  mainland born|C
03/01/12|TypeA|4th|INDIA|C
03/01/12|TypeA|4th|MEXICO|C
03/01/12|TypeA|4th|PHILIPPINES|C
03/01/12|TypeA|Certain Religious Workers|All  Chargeability  Areas Except  Those Listed|C
03/01/12|TypeA|Certain Religious Workers|CHINA-  mainland born|C
03/01/12|TypeA|Certain Religious Workers|INDIA|C
03/01/12|TypeA|Certain Religious Workers|MEXICO|C
03/01/12|TypeA|Certain Religious Workers|PHILIPPINES|C
03/01/12|TypeA|5thTargetedEmployment Areas/Regional Centersand Pilot Programs|All  Chargeability  Areas Except  Those Listed|C
03/01/12|TypeA|5thTargetedEmployment Areas/Regional Centersand Pilot Programs|CHINA-  mainland born|C
03/01/12|TypeA|5thTargetedEmployment Areas/Regional Centersand Pilot Programs|INDIA|C
03/01/12|TypeA|5thTargetedEmployment Areas/Regional Centersand Pilot Programs|MEXICO|C
03/01/12|TypeA|5thTargetedEmployment Areas/Regional Centersand Pilot Programs|PHILIPPINES|C
04/01/12|TypeA|1st|All Chargeability Areas Except Those Listed|C
04/01/12|TypeA|1st|CHINA - mainland born|C
04/01/12|TypeA|1st|INDIA|C
04/01/12|TypeA|1st|MEXICO|C
04/01/12|TypeA|1st|PHILIPPINES|C
04/01/12|TypeA|2nd|All Chargeability Areas Except Those Listed|C
04/01/12|TypeA|2nd|CHINA - mainland born|05/01/10
04/01/12|TypeA|2nd|INDIA|05/01/10
04/01/12|TypeA|2nd|MEXICO|C
04/01/12|TypeA|2nd|PHILIPPINES|C
04/01/12|TypeA|3rd|All Chargeability Areas Except Those Listed|04/08/06
04/01/12|TypeA|3rd|CHINA - mainland born|03/01/05
