01/01/12	01/01/09
02/01/12	01/01/10
03/01/12	05/01/10
04/01/12	05/01/10
05/01/12	08/15/07
06/01/12	U
07/01/12	U
08/01/12	U
09/01/12	U
11/01/12	09/01/07
12/01/12	10/22/07
01/01/13	12/08/07
02/01/13	01/15/08
03/01/13	02/15/08
04/01/13	04/01/08
05/01/13	05/15/08
06/01/13	07/15/08
07/01/13	08/08/08
08/01/13	08/08/08
09/01/13	08/08/08
10/01/13	09/15/08
11/01/13	10/08/08
12/01/13	11/08/08
01/01/14	12/08/08
02/01/14	01/08/09
03/01/14	02/15/09
04/01/14	03/08/09
05/01/14	04/15/09
06/01/14	05/22/09
07/01/14	07/01/09
08/01/14	10/08/09
09/01/14	10/08/09
10/01/14	11/15/09
11/01/14	12/08/09
12/01/14	01/01/10
01/01/15	02/01/10
02/01/15	03/15/10
03/01/15	09/01/10
04/01/15	04/01/11
05/01/15	06/01/12
06/01/15	06/01/13
07/01/15	10/01/13
08/01/15	12/15/13
09/01/15	01/01/06
10/01/15	01/01/12
11/01/15	02/01/12
12/01/15	02/01/12
01/01/16	02/01/12
02/01/16	03/01/12
03/01/16	08/01/12
04/01/16	09/01/12
05/01/16	09/01/12
06/01/16	01/01/10
07/01/16	01/01/10
08/01/16	01/01/10
09/01/16	01/01/10
10/01/16	02/15/12
11/01/16	07/15/12
12/01/16	09/22/12
01/01/17	10/15/12
02/01/17	11/15/12
03/01/17	12/15/12
04/01/17	01/15/13
05/01/17	02/08/13
06/01/17	03/01/13
07/01/17	03/22/13
08/01/17	04/22/13
09/01/17	05/15/13
10/01/17	05/22/13
11/01/17	06/15/13
12/01/17	07/01/13
01/01/18	08/08/13
02/01/18	10/01/13
03/01/18	12/08/13
04/01/18	08/01/14
05/01/18	09/01/14
06/01/18	09/01/14
07/01/18	01/01/15
08/01/18	03/01/15
09/01/18	01/01/13
10/01/18	04/01/15
11/01/18	05/15/15
12/01/18	07/01/15
